,	,
umubiri	N
mugihe	N
Nabo	CC
Magana	N
Sa	PREP
ministiri	N
nimuze	V
à	
icyobo	N
misozi	N
bibaye	V
rwe	ADJ
bi	ADJ
yazaga	V
turakomeza	V
bagahita	V
ubwongubwo	N
bise	ADJ
numwe	ADJ
bice	V
Arambaza	V
bakomeje	V
kwanjye	V
amata	N
twumvikane	V
twigeze	V
twageze	V
mute	ADJ
kangahe	V
ndiho	V
naramubwiye	V
témoignage	N
repuburika	N
abonye	V
ha	PREP
bigenze	V
guhana	V
Bahita	V
gutegura	V
Mpageze	V
abanyeshuri	N
ikizere	N
kuryama	V
umujinya	N
bicwa	V
itangiye	V
araje	V
tureba	V
ntihagire	V
kubibona	V
Abatwa	N
bijya	V
bahamagara	V
tukumva	V
twasanze	V
mahanga	N
kumubwira	N
ndebye	V
barapfa	V
dusubira	V
kibuye	N
eshatu	ADJ
muturanye	N
kiba	V
ibiro	N
mafaranga	N
babili	ADJ
ababwira	V
ikiganza	V
rubanza	N
badushyira	V
tuje	V
ukavuga	V
bakabona	V
Runda	V
yabayeho	V
ajye	V
tukagenda	V
yanyu	DT
banque	N
akumva	V
yiga	V
yanze	V
Ba	PREP
navuye	V
ndabazi	V
izaba	V
nyura	V
nikubita	V
bakoraga	V
kumbaza	V
twabonaga	V
position	N
tuvugana	V
muza	V
amahiri	N
gikondo	N
cyabaye	V
barashize	V
intuza	V
yabivuze	V
ibyago	V
nicara	V
kurwanya	V
babikoze	V
ishize	V
tumenye	V
agafata	V
kitari	N
ibihano	N
karitiye	N
nsubiye	V
nagombaga	V
tujyana	V
ryose	DT
tuzaba	V
akimara	V
ihangane	V
kinyarwanda	N
ibihugu	N
agire	V
birangiye	V
gihari	N
gucika	V
mutuye	V
ntashobora	V
umuvandimwe	N
Gihanga	N
Ndababwira	V
wapi	
twagize	V
baravuze	V
inani	ADJ
ugerageza	V
hakiri	
hilux	
ndiga	V
rwawe	DT
kwiruka	V
ugeze	V
bakareba	V
Nyabarongo	N
igikondo	N
yavuye	V
twavugaga	V
1973	N
isambu	N
gusura	V
kurwara	V
abapfakazi	N
gishobora	N
akagerageza	V
bamurashe	V
gikari	N
byonyine	ADV
babonaga	V
kundeba	V
akagenda	V
kimihurura	V
kubyemera	V
gusahura	V
batwaye	V
namubonye	V
umwirondoro	N
mugezi	N
Byabaye	V
bus	N
nashoboye	V	
nte	ADV	
twihishe	V	
baca	V	
Ahita	V	
nabwiye	V	
njoro	N	
bamwiciye	V	
bahimbye	V	
bamwice	V	
kukubwira	V	
arusha	V	N
%		

%% After 2:30

kuris	
mbiri	ADV
Ndongera	V
n	CC
mugaragaro	N
bituma	V
banyu	DT
inyamaswa	N
yica	V
masenge	V
ava	DT
kamere	V
irangamuntu	N
hapfuye	V
namenye	V
ndapfuye	V
...........	...
kumpa	V
nu	PREP
Kabuga	V
nkwereke	V
bisa	V
bizaba	V
abanzi	V
guha	ADV
t	
anjyana	V
bwenge	V
mugani	N
muganga	N
kwicara	V
gira	V
Ubuhake	N
Mukuru	N
Bibi	ADJ
uuuh	ADV
nzego	ADV
kuzamuka	V
kumfata	V
butandukanye	V
ibimenyetso	N
iwanjye	V
Nibo	C
ntaki	V
inteko	N
Pélodé	N
Ndicara	V
rumwe	ADJ
Yves	N
byararangiye	V
umuheto	N
kudutwara	V
kameze	V
binjira	V
umunyeshuri	N
Kibungo	N
Bo	PREP
procule	N
ibye	DT
mirambo	N
babica	V
naza	V
buke	ADJ
sinshaka	V
ukuboko	N
hitwa	V
agatema	V
byibura	ADV
Yezu	N
inzugi	N
tuzajya	V
far	
bahitaga	V
territoriale	N
mureke	ADJ
nabimenye	V
abasaza	V
mbyumva	V
mukanya	V
Musenyeri	N
saba	N
bajandarume	V
wumvise	V
dusigara	V
twabashije	V
bapfiriye	V
twenyine	V
ndajya	V
..........	...
acyenda	V
nonese	ADV
ntibari	N
muzehe	V
yewe	N
@-	
ishati	N
nshoboye	V
bamenye	V
ryawe	DT
bazajya	V
uzaba	V
zigeze	V
guhiga	V
turamanuka	V
Butamwa	V
ariya	DT
frère	N
gisimba	N
nashatse	V
wagira	V
Izo	DT
irya	DT
ubizi	V
Rero	ADV
cyubahiro	N
ibanga	V
Turaza	V
yongeye	V
ryanjye	V
Aramubwira	V
mpazi	N
hagiye	V
Aragenda	V
abagiye	V
Abafaransa	N
bukomeye	V
ndigendera	V
Abasirikare	V
iy'	PREP
mugiye	V
zihari	V
kubyumva	V
harya	DT
amwe	ADJ
baramfata	V
responsable	N
avenir	N
Jean	N
Directeur	N
dukora	V
2	ADJ
ibibi	N
ndamuzi	V
abirabura	V
indwara	N
kwe	PREP
inyamirambo	N
Sania	N
aramfata	V
umuriro	N
kingana	V
washoboraga	V
icyumweru	N
bagende	V
Kereka	V
Bon	ADJ
tatu	ADJ
Akaba	V
shyaka	V
Ntekereza	V
amagufa	N
nshinzwe	V
avuge	V
gusanga	V
bazaza	V
ngahita	V
gutema	V
bamwitaga	V
bahungira	V
igenda	V
amafoto	N
Kugira	V
mbaye	V
Gatorika	N
uRwanda	N
3	ADJ
bakabica	V
bagiraga	V
butumwa	V
bagwa	V
guhaguruka	V
bihari	N
guhinduka	V
avuye	V
ubwabo	N
inkomere	N
ngera	N
hasigara	V
Yaba	V
babiciye	V
barishwe	V
Umukecuru	N
yandi	
nifuza	
komera	V
ze	DT
unity	N
gikoni	N
Nyine	ADV
inyigisho	N
le	
Turavuga	V
mbanze	V
Ubuhamya	N
gitekerezo	N
nkabura	V
nakongeraho	V
batwika	V
Shyaka	N
Ndagirango	
igitanda	N
biciye	V
uravuga	V
watanze	V
kubyerekeye	V
myiza	ADJ
igera	V
bugiye	V
tante	N
Ababiligi	N
yarishe	V
Uwimana	V
Rosette	N
nukuvuga	V
avuze	V
akayira	V
batemye	V
guhora	V
nkatwe	CC
batazi	V
natanga	V
Munyensanga	N
tukongera	V
ibyerekeye	N
gukura	V
iterambere	V
abarokotse	N
nkibaza	V
byaha	V
turiruka	V
ukwe	DT
baramufashe	V
ngatekereza	V
Natwe	CC
Musinga	N
amubwira	V
nguko	
Inyenzi	N
bwoba	N
waha	
banjyana	V
kubatwara	V
arapfa	V
uraza	V
so	N
ntara	N
yumvaga	V
kurangira	V
amasezerano	N
cyahindutse	V
musirikare	N
impungenge	N
nshakisha	V
ke	ADJ
Turongera	V
Kuki	ADV
bakagaruka	V
aragaruka	V
akaboko	N
Famille	N
nkababwira	V
yonyine	V	
jambo	N	ADV
abishe	V	
tuvuye	V	
washoboye	V	
nibamara	V	
uhora	V	
Ntacyo	ADV	
intego	N	
batanze	V	
njyayo	V	
akiri	N	
irindi	N	
kariya	V	
sita	N	
ntangira	V	
Nubwo	CC
bongeye	V
Wabonaga	V
tutari	V
giturage	V
busa	N
yarize	V
ahagaragara	V
baka	V
kabande	N
urutoki	N
nsabe	
et	CC
bitwa	V
kagali	N
Umugore	N
musore	N
Ako	DT
kanombe	N
kigari	N
intwaro	N
ururimi	N
agaruka	V
kagari	ADJ
akunda	V
gusenga	V
ukuze	V
akamaro	N
ukurikije	N
Kane	ADJ
Bagiye	V
yafashe	V
impanuro	N
grénade	N
imyitozo	N
nkuru	ADJ
guhagarara	V
irakomeza	V
abatwa	N
koroneli	N
utuntu	N
wabishe	V
kuguhisha	V
nahuye	V
mrnd	N
twihisha	V
mube	V
bwakwira	V
bahaguye	V
nareba	V
indangamuntu	N
duhura	V
ubwonko	N
Abazungu	N
bigira	V
birenze	V
yaravuze	V
Ya	PREP
mbabwire	V
Thérèse	N
byukuri	N
dukwiye	V
yavuga	V
vacance	N
yee	ADV
natekerezaga	V
yararangiye	V
yararokotse	V
baravugaga	V
twashakaga	V
abizi	V
nemera	N

%% After 3:00

babicira	V
musarane	V
kuhagera	V
kwari	V
kereka	V
wabashije	V
ahntu	N
yageze	V
Ngirabakunzi	N
mibereho	V
Alice	N
Abaturage	V
1995	N
bar	
mitwe	N
babura	V
byibuze	V
nagendaga	V
kacyiru	N
Hagati	V
wiciye	V
Ukumva	V
umuhinzi	N
bugufi	ADJ
uje	V
irengero	N
iti	ADV
bityo	N
navugaga	V
bateye	V
Baraje	V
abahinzi	N
bugesera	N
Ndabyibuka	V
ubigenzuye	V
byumba	N
gushira	V
bahahungiye	V
tukagira	V
amatwi	N
kuvamo	V
utubazo	N
nkomeza	V
kweri	V
bagasanga	V
ahagana	V
mirimo	N
18	ADJ
abajepe	N
RUHOTORINYANA	N
akiriho	V
ataza	V
uyunguyu	N
Karere	N
30	ADJ
Epa	N
mubizi	N
kunywa	V
basanzwe	V
Ibintu	N
atya	V
croix	V
arebe	V
hameze	V
biga	V
Speek	N
dute	ADJ
Urakoze	V
uhh	ADV
kimeze	V
tuganira	V
nababwiraga	V
gukira	V
Minuar	N
intambwe	N
inzoga	N
naravugaga	V
wamenye	V
Ntago	ADV
katedrale	N
yasaga	V
mpaka	V
kubaka	V
kurira	V
Data	N
nabivuze	V
Guturuka	N
bwije	V
nsigara	V
Nkabona	V
nasanze	V
ndara	V
kuvugana	V
umupadiri	N
bambaza	V
yasanze	V
yabanje	V
baziranye	V
kwivuza	V
amasaha	N
baturanyi	N
bwange	V
barangiza	V
Mwari	N
naha	CC
inzoka	N
bafashwe	V
muramu	N
imiti	N
yashoboye	V
ishusho	N
wanyiciye	V
amatafari	N
nyoko	N
ibijumba	N
kumara	V
babana	V
wakoraga	V
tubaye	V
Mishove	V
Nibuka	V
bagihari	V
cyanee	V
Umurenge	N
cammionet	N
babigizemo	V
imirimo	N
bupfe	V
gifite	V
muco	N
mbwa	N
Bavuga	V
Ubungubu	N
ufashe	V
Mushiki	V
konseye	V
mugambi	N
mbone	V
rwiza	V
ntanga	V
irondo	N
ijerikani	N
uwonguwo	N
akandi	CC
Radio	N
commission	N
bigejeje	V
inde	ADJ
jemes	V
bariga	V
mbasha	V
ntabo	DT
Nyamirambo	N
bashyize	V
imusozi	N
Emmanuel	N
marume	N
abasigaye	V
kamwe	ADJ
barahita	V
Ukabona	V
Ahantu	N
mbura	V
bagombaga	V
twavuze	V
baraye	V
wamwishe	V
bamujyanye	V
mpamya	V
nsaba	V
kiyovu	N
zacu	DT
kubanza	V
abaje	V
barigendera	V
asa	V
bugacya	V
Witwa	V
uvuze	V
nirwo	V
Sibyo	V
baramwishe	V
ibyumba	N
gukunda	V
yagombye	V
yabona	V
biciwe	V
bizagenda	V
amahano	N
baciye	V
Bafite	V
Maman	N
matera	V
butegetsi	N
anti	
basubira	V
Bizimungu	N
ukuguru	N
watanga	V
sida	N
twose	DT
situation	N
buno	DT
tubaho	V
tumeze	V
batanga	V
barya	DT
ndaryama	V
babita	V
PDC	N
Nibaza	V
Hariho	V
bwaho	PREP
ingorane	N
urw'	PREP
bashyizeho	V
gitoya	N
arihe	V
barahunga	V
bashyinguye	V
gisigaye	V
amarondo	N
ntekereje	V
igwa	N
cyaba	DT
nazimuha	V
ikinyarwanda	N
bahora	V
ndibaza	V
kunga	V
murimo	V
ruri	V
umurambo	N
Baragenda	V
zica	V
ikora	V
tuhasanga	V
gikorwa	V
ndatekereza	V
Doudou	N
ibyinshi	N
uuh	ADV
mpunga	V
Komine	N
Twe	N
nanze	V
ngando	V
Yeee	ADV
nshuro	N
Munyagishari	N
nta...nta	ADV
hatangiye	V
urwibutso	N
bumvise	V
wageze	V
umbwiye	V
gisa	ADV
nsubire	V
ukagenda	V
inkuru	N
imirwano	N
Wigeze	V
nkiko	N 
Kagame	N
rukiko	N
babashe	V
kwambuka	V
Abenshi	ADJ
azaba	V
SDR	N
ryabo	DT
yambwiraga	V
ntuze	V
ntugire	V
turagiye	V
Nkanjye	N
bata	N
ikihe	N
narindi	
ugupfa	V
bakoresheje	V
kumvamo	V
arafunze	V
rouge	ADJ
gushyiraho	V
umurescapé	N
Haza	V
Baba	N
byawe	DT
kugaragaza	V
gutuma	V
agahita	V
bamutemye	V
ibizi	N
amenye	V
andre	N
mvuka	V
conseiller	V
Gikondo	N
abone	V
nabaha	V
bonyine	V
cyitwa	V
isura	N
Ababyeyi	N
kayumba	V
umusarane	N
bakunze	V
atazi	V
bamwica	V
kugaragara	V
Parmehutu	N
aciye	V
sous	PREP
waraje	V
ugifite	V
ukubera	N
Tubwire	V
bashyira	V
Ise	V
Impamvu	N
umwarimu	N
myenda	N
agapfa	V
tukabona	V
byerekeye	V
bino	DT
gufungura	N
dukomeze	V
taxi	N
rwandaise	ADJ
kugeraho	V
rescapé	V
prison	N
economat	N
babivuze	V
cyumweru	N
tayari	V
nabanaga	V
abashoboye	V
baturanye	V
ibirometero	N
udafite	V
nkana	V
bahuriraga	V
kabari	V
babwira	V
uruzi	N
nakubwira	V
bugaragara	V
yakomeje	V
turashaka	V
Abari	N
ubwira	V
munzira	V
Abami	N
Gouvernement	N
saha	N
karabaye	V
Burya	V
urabyumva	V
babone	V
ikibuga	N
wasanga	V
kigomba	N
numvishe	V
nimugende	V
Seseko	V
urubyiruko	N
araseka	V
tujyane	V
ubucamanza	N
rubi	ADJ
isoni	N
muvuga	N
ihame	N
bigo	N
nafashe	V
gusobanura	V
kugabana	V
babaha	V
yasigaye	V
imbarutso	N
baturuka	V
ngari	ADJ
Zamura	V
isano	N
Ufite	V
ntashaka	V
turabizi	V
nakubaza	V
inaha	N
umuco	N
ababirigi	N
kumureba	V
akarengane	V
Umva	V
bikomeza	V
bajyanye	N
Rugema	N
mashyaka	N
keretse	V
mbitekereza	V
gukina	V
aracyariho	V
nabuze	V
gutura	V
Byagenze	V
myanda	N
stock	N
barishe	V
yashyizeho	V
ibice	N
ngicyo	
ugire	V
dusa	V
Immaculée	N
mwe	N
mbayeho	V
mureba	V
agahenge	V
turapfuye	V
batigeze	V
zikaba	V
ntituzi	V
ntaramenya	V
amajoro	N
munyururu	N
Kuburyo	N
batarapfa	V
nkurikije	V
ntibuka	V
Hakaba	V
umugezi	N
kunjyana	V
kuzajya	V
mutara	V
abatware	N
murindwa	N
amatongo	N
batubwiye	V
uruhinja	N
Ukavuga	V
amashuli	N
wanze	V
umuti	N
nkazajya	V
mukore	V
mvugo	N
byatumye	V
gisirikari	N
baranyica	V
ndamubura	V
umujyi	N
imitwe	N
kuboneka	V
Kagina	
uu	
M.R.N.D	N
Vincent	N
kubicira	V
akitwa	V
nagumye	V
wawundi	ADJ
twabanje	V
résponsable	N
Sogokuru	N
ajyana	V
waho	PREP
wanyuzemo	V
Wa	PREP
kurangiza	V
nagiraga	V
nigira	V
utubwiye	V
ubugome	N
ampa	N
bakata	V
dupfe	V
ntaha	V
uw'	PREP
imigambi	N
Zaire	N
Kubabarira	V
icyambere	ADJ
docteur	N
Umuhutu	N
yanga	V
kubishyira	V
tura	V
chefs	N
gahari	N
bikeya	V
Tuzi	V
aguma	V

%% After 3:30

tw'	PREP
Twumva	V
akaguru	N
bagirango	V
byavuzwe	V
mirenge	V
inkono	N
gusoma	V
warigeze	V
iteka	N
mwaba	N
babashyira	V
bemeye	V
igikoma	N
lietenant	N
bikwiriye	V
bunyice	V
gituma	N
babyita	V
wabayeho	V
Mugihe	N
rundi	N
ngunguru	N
bashoboraga	V
Ubwa	DT
ndapfa	V
Ubutabera	N
icyatumye	V
nzagenda	V
simvuga	V
kwihangana	V
wavuye	V
tuzakomeza	V
yavaga	V
bahimba	V
gutaka	V
information	N
bange	V
abangaba	N
zindi	N
guhagarika	V
tukaza	V
ejobundi	ADV
biragoye	V
ukagera	V
abitwa	V
mbaza	V
urapfa	V
Tujya	V
bagafata	V
zigenda	V
bibana	V
Hariya	DT
kubabara	V
dukeya	V
MASENGO	N
m	PREP
tugize	V
gusana	V
agerageza	V
baragaruka	V
akababwira	V
cas	N
izihe	ADJ
ikirangira	N
maganacyenda	
kizere	V
narapfuye	V
yabonaga	V
batayo	V
tumenya	V
mbyibuka	V
tubabwira	V
Ubwongubwo	N
nubu	
Byari	V
yarashatse	V
napfa	V
babice	V
uhita	V
baratwika	V
umusazi	N
naragiye	V
nda	V
nabibonaga	V
murima	N
rurimo	V
barabanje	V
zishobora	V
habe	V
Cyo	PREP
biragaragara	V
Nza	V
ibishyimbo	N
yongera	V
twagiraga	V
nabayeho	V
Rugunga	N
mbazi	N
turazamuka	V
amagufwa	N
ah	ADV
tukihisha	V
guhanwa	V
ndamubaza	V
mwa	PREP
twiruka	V
kibungo	N
umutante	N
bahageze	V
bakomeye	V
ikaba	N
nundi	ADV
henshi	ADJ
ngiyo	
amabisi	N
bagakubita	V
yahita	V
bakoranaga	V
batangire	V
gatera	V
impanga	N
Mbega	ADV
Ruhango	N
abawe	N
mwumva	V
kumanuka	V
mbyemera	V
capitaine	N
nimba	N
burambuye	V
RUDAHIGWA	N
ikomeye	V
urajya	V
itangira	V
wamaze	V
Ka	PREP
mpagarara	V
karibushi	N
bihagije	V
14	ADJ
twavuye	V
nturi	V
aah	ADV
twanga	V
PSD	N
yazize	V
bapfaga	V
sawa	ADV
twavukanaga	V
bicaye	V
bamushyira	V
wakongeraho	V
wicaye	V
yabashije	V
chapelle	N
tuzagira	V
bamenya	V
Ubumwe	N
yanditse	V
abamikazi	N
barwaye	V
Umusaza	N
bashyiramo	V
gu	PREP
paruwasi	N
agende	V
uzajye	V
dusubire	V
yigisha	V
arasa	V
ukwica	V
ndakwica	V
uwundi	ADJ
ndagaruka	V
abuzukuru	N
bourgmestre	N
igisigaye	N
afungiye	V
imyiryane	N
basaka	V
kijya	V
gereza	V
birarangiye	V
hagakurikiraho	V
arataha	V
turamubura	V
Uwiringiyimana	N
remera	N
ukunguku	N
kacu	ADJ
yaragendaga	V
bushobora	V
Karungu	N
kuruta	N
bakumva	V
butabera	V
Barangije	V
akamenya	V
barazaga	V
barakomeza	V
zigera	V
wahaguye	V
nakoraga	V
cellule	N
ayoboye	V
tukajyana	V
Ambwira	V
ije	V
gusubiza	V
rumeze	V
byanga	
ibiti	N
birandenze	V
abanyamahanga	B
namubwiye	V
wazanye	V
guverinoma	V
bashize	V
Nahise	V
ateye	V
bibaza	V
kwigira	V
inturusu	N
duhungira	V
tugere	V
kumera	V
gusakuza	V
kubisubiramo	V
Yo	PREP
ngarutse	V
tugezeyo	V
impuzamugambi	N
babyumva	V
Aza	DT
bamujyana	V
dukomeza	V
ikawa	N
sibyo	V
duhe	V
nibagiwe	V
Céline	N
bihe	N
iyaba	N
twabaye	V
baganira	V
bashakisha	V
Tumaze	V
ibihuru	N
Hakizimana	N
kwitwara	V
bicwaga	V
zatangiye	V
bajyana	V
barashaka	V
akabona	V
yikubita	V
CHK	N
Ngira	V
utwara	N
ibisebe	N
zina	ADJ
kwicana	V
juvenal	N
batagira	V
dukeneye	V
yashatse	V
Numvise	V
kubw'	PREP
aborozi	N
bamuzizaga	V
Uwitwa	V
impyisi	N
iNyamata	N
anzi	V
bakubita	V
ngaragaza	V
kuntwara	V
W'	PREP
sinibuka	V
niryo	ADV
uwahe	N
byitso	N
aga	DT
Umuhungu	N
gutaburura	V
ETO	N
ngoma	N
urusaku	N
tubayeho	V
duhuye	V
ite	ADJ
amafirimbi	N
kubasha	V
esheshatu	V
italiki	N
Turi	V
bazamutse	V
turagaruka	V
nasize	V
amafranga	N
Arababwira	V
kugerageza	V
mukwezi	N
ntakintu	N
yagiyemo	V
nahasanze	V
Akarere	V
ngerageza	V
masezerano	V
bafatanya	V
nyamara	V
wihangane	V
kijyanye	V
pistole	N
nyobora	N
Lando	N
itaka	N
byakomeye	V
ABATWA	N
twegeranye	V
ukujya	N
adahari	ADV
twarokotse	V
barambwiye	V
bafitanye	V
uruhu	N
Barambwira	V
naraje	V
mazina	V
Samuduha	V
mutwaro	N
Mubyukuri	N
nibaramuka	V
bigiye	V
mujyane	N
ibyabereye	V
mushake	V
duhurira	V
premier	N
Wambwira	V
tunyura	V
cyuko	N
cyatuma	V
arampamagara	V
Kwa	PREP
mbaha	V
rwobo	N
bakurikije	V
kuyifata	V
turiho	V
sindi	V
wihishe	V
abahigi	N
gifunzo	N
tuhageze	V
yumvise	V
nebyiri	ADJ
birakomeye	V
hoya	V
minota	N
kumbona	V
babashyire	V
kubamo	V
guteka	V
muharuro	N
humura	V
akiga	V
twabanye	V
igira	N
uruhushya	N
mubantu	N
John	N
réconciliation	V
point	N
turagirango	V
gihumbi	N
batwicaza	V
umwuga	N
kumusura	V
ubuse	V
ntazibagirwa	V
ishyano	N
ni...ni	V
bugenda	V
bivuga	V
officiers	N
ibigori	N
nkahita	V
yashize	V
ubwiru	N
ntakundi	ADV
kudutera	V
ataha	N
turabona	V
isundwe	V
urundi	N
biranyobera	V
barakomeje	V
nashoboraga	V
batwara	V
umwobo	N
ntahe	ADV
mukajya	N
yampaye	V
Kumbi	ADJ
mufuka	N
abaye	V
badashobora	V
carrière	N
Alphred	N
nkubwiye	V
ibishoboka	N
ahura	V
15	ADJ
abazi	N
Inama	N
Rudahunga	N
gishanga	V
kuhatera	V
gipangu	N
Ubwoko	N
matongo	N
bidede	V
kubajyana	V
nabyita	V
Simbizi	V
conseille	N
Claude	N
bucura	N
ntigeze	V
Bakaba	V
nanditse	V
ukomeye	V
amfata	N
Rudahigwa	V
batisimu	N
watangiye	V
namubabarira	V
kabili	ADJ
pa	N
kwizera	V
narinzi	V
ane	ADJ
twamara	V
zishaka	V
gashiki	N
fosse	N
tugezemo	V
ubwana	N
maremare	ADJ
mfate	V
heza	V
nshima	V
itongo	N
imvugo	N
byazo	N
nahamaze	V
babashyize	V
nagombye	V
twagiramungu	V
umupolisi	N
twihishanye	V
lyce	DT
Ndashaka	V
kucyungura	V
iz'	PREP
bamanuka	V
2004	N
ashyira	V
icyuko	N
Batangira	V
bagataha	V
yanditseho	V
nyangamugayo	V
gitera	N
gukata	V
nuriya	DT
Ndazamuka	V
kongeraho	V
yarinze	V
amacumu	N
ninde	N
kutubona	V
buragoye	V
akongera	V
gushoboka	V
Umutoni	N
muje	ADJ
Gitesi	N
inzozi	N
Kubyo	N
bano	ADV
banza	V
Dativa	N
wakundaga	V
morale	N
ruhare	N
commandant	N
two	PREP
yarasigaye	V
amaherezo	N
babanaga	V
bigende	V
niyicarira	V
ugerageze	V
baricwa	V
yavutse	V
Clodette	N
tuvukana	V
zikajya	V
urufunzo	N
aramutse	V
ndirutse	V
mbabaye	V
ndagira	V
Nyina	ADV
twaragiye	V
Angélique	N
burimo	V
gusimbuka	V
wagirango	V
Njya	N
amatariki	N
mufate	V
namubwira	V
umwanda	N
yatekerezaga	V
najye	V
turamubwira	V
Cynthia	N
usange	V
kurugi	N
AU	N
rubanda	N
ngumana	V
Rimwe	ADJ
enquete	N
ukeneye	V
nkeya	V
burundu	ADV
bumve	V
iravuga	V
ubanze	V
dufashe	V
ariwo	V
ubushake	N
batema	V
muretse	V
kudufasha	V
10	ADJ
Gatabazi	N
guma	ADV
Akambwira	V
narangiza	V
abanjye	V
tuziko	V
ikimuga	N
umujandarume	N
nziranye	V
zanyu	DT
Keretse	V
baratwica	V
gukurikirana	V
baragize	V
muhuje	V
bakicwa	V
ceceka	V
contact	N
bamanutse	V
Nsubiye	V
busigaye	V
imyanya	N
abicanyi	N
uturutse	V
ukumenya	V
21	ADJ
avuka	V
wakora	V
decision	N
bicwe	V
ubaye	V
Kamonyo	N
yarabyaye	V
service	N
Yewe	ADV
inyungu	N
adafite	V
ngasanga	V
gafite	V
butike	V
nandika	V
depite	N
Bitewe	V
abavuye	V
tukirirwa	V
ubwange	N
Amoko	N
yayo	PREP
bubaho	V
ngezeyo	V
nabibonye	V
tubanze	V
ukugenda	N
nca	V
bihinduka	V
base	ADJ
ube	V
bamwicira	V
amayeri	N
ndyamye	V
biriho	V
Umunyarwanda	N
gufatwa	V
bakeneye	V
bucye	V
rescapés	N
nzicyo	
byacu	DT
l'	PREP
hatabona	V
bakimara	V
kayira	V
bazungu	N
tukamanuka	V
agera	V
bagasangira	V
Nkareba	V
amabariyeri	N
karimo	V
nabishe	V
ziteye	V
zikaza	V
biva	V
nigeraga	V
bigatuma	V
duhari	V
birananirana	V
barabafata	V
niteguye	V
abakuru	N
Dufata	V
kumubabarira	V
uzagira	V
yaragize	V
1	ADJ
Kuberako	V
umututsikazi	N
abashaka	V
birutwa	V
indishyi	N
dutuyemo	V
gusenya	V
gukumira	V
Freddy	N
ndaje	V
kukubona	V
bikajya	V
intangarugero	N
bamfata	V

%% After 4:00

Nabyo	
turamanutse	
umwicanyi	
frw	
babishyira	
gisubizo	
dushake	
Mutabazi	
ihahamuka	
kubereka
uyoboye
gukorwa
cinquième
kimbabaza
bakubise
myobo
Uvukira
abura
baramvura
jandarumori
bitanu
ryabaye
akakubwira
bucyeye
babaho
Navutse
abitwaga
naravuze
umutware
utwana
bamwita
yagiraga
ndwaye
yagiyeho
Karambi
mpagaze
byageraga
nabanje
ministere
guhakana
baturi
mvugisha
nakora
barabarashe
histoire
bahamagaye
bamara
sinjya
bongere
cumu
bingahe
guhindura
ajyenda
nasigaye
babazanaga
iraza
inzibutso
zishe
iyongiyo
ABAHUTU
gukuraho
ikibi
basakuza
gushya
umukingo
igipangu
basigara
Iwabo
ukwabo
mélanie
nkiga
ukwiga
zaraje
bafatanyije
umh
ihene
uragenda
kubamenya
utagira
rivuga
odette
Bikaba
nagiyeyo
Murengezi
ntaza
Kiyovu
20
kicukiro
abakirisitu
batera
naka
Bageze
Si
hariyo
babafashe
mbyuka
twaraye
ahishe
imuhira
sinumva
munyarwanda
kubitekerezaho
kwakundi
Naramubwiye
bikabije
Iriya
bahura
tukabana
kurangura
Gakinjiro
ntanzeho
ntimugire
turara
bamukubita
telephone
ntagomba
kitwaga
tugire
kwinjiramo
prefet
zijya
1962
kwacu
nahitaga
Umaze
nje
babwiye
matafari
nkuka
bamuha
duhunge
gukubita
bwacya
ubwire
kubafata
donasiyani
muhango
ababaye
iteye
dieu
ishaka
Innocent
nakomeje
rwabo
marene
yicaga
yarazaga
bambonye
gifaransa
Bukeye
Gaturika
bavuge
kwandika
yabuze
petit
miterere
kuhaba
yahoze
Tuhageze
wamenya
uhagaze
bikunda
babata
agwa
nasubiye
Mfite
igitenge
baratangira
nahavuye
ririya
Nsengiyumva
urareba
Ethiopia
buba
tujyamo
ABATUTSI
kumuvugisha
zitera
Sinigeze
nsigarana
bagifite
ndamwihorera
wambwiye
gufatanya
mfubyi
Ugomba
babaza
umwuzukuru
turashize
Uganda
baragarutse
kwakira
Ndakubaza
iragwa
Uh
uwaba
yajya
manuka
Gaspard
akagari
mperuka
Ntirugiribambe
abapolisi
igeze
yatanze
itazongera
arapfuye
guteranya
kano
izuba
uwarokotse
tumanuka
byabereye
Bakajya
ntamenye
utanga
bwanyu
yaraye
azajya
batagize
maraso
mugira
inkovu
atandukanye
cyiza
abakiri
ubukene
bahutu
bashyinguwe
bemera
Naragiye
akatubwira
orphelinat
twamenye
Wavutse
Twagirango
arabwira
iyingiyi
babimenye
Pascal
nkibona
non
olphelina
umunyamahanga
Kamuhanda
agakunda
ntiyagira
kumenyera
ukaza
Bishwe
yarimo
ushinzwe
babayeho
mikuru
yarangira
yabwiye
.............
baryamye
kuruhande
wagombaga
nkubu
muferege
décision
urabibona
Béatha
yibuka
tubibona
bataha
Akajya
bakanywa
nkata
yateguwe
kutubaza
Imbwa
Ntangira
inyama
kwitegereza
arya
Ndebye
bugomba
mutekano
reonard
est
gufungwa
tubwize
mbabarire
buzabikwa
bizagera
napanga
uzaza
twirirwa
bahishe
nkiriho
binshimishije
M.D.R.
babahungu
mission
kugisubiza
tungana
idirishya
kubibwira
cyonyine
Basanze
kumenyamo
nkambi
kubafunga
bakagombye
kabo
kwirirwa
ndareba
Kamonyi
Kamanda
muzamuke
gommu
buhe
yababwiye
twifuza
orpherinat
natekereza
ingero
nzakora
bukomeza
tubajyana
igufa
12
isuku
